Date,Value
"December 31, 2024",49.81T
"September 30, 2024",48.70T
"June 30, 2024",45.84T
"March 31, 2024",44.08T
"December 31, 2023",40.04T
"September 30, 2023",35.94T
"June 30, 2023",37.16T
"March 31, 2023",34.34T
"December 31, 2022",32.13T
"September 30, 2022",30.12T
"June 30, 2022",31.90T
"March 31, 2022",38.29T
"December 31, 2021",40.36T
"September 30, 2021",36.54T
"June 30, 2021",36.32T
"March 31, 2021",33.62T
"December 31, 2020",31.66T
"September 30, 2020",27.87T
"June 30, 2020",25.64T
"March 31, 2020",21.42T
"December 31, 2019",26.76T
"September 30, 2019",24.71T
"June 30, 2019",24.42T
"March 31, 2019",23.62T
"December 31, 2018",21.03T
"September 30, 2018",24.58T
"June 30, 2018",23.04T
"March 31, 2018",22.50T
"December 31, 2017",22.82T
"September 30, 2017",21.58T
"June 30, 2017",20.76T
"March 31, 2017",20.28T
"December 31, 2016",19.27T
"September 30, 2016",18.74T
"June 30, 2016",18.19T
"March 31, 2016",17.96T
"December 31, 2015",17.90T
"September 30, 2015",16.92T
"June 30, 2015",18.22T
"March 31, 2015",18.30T
"December 31, 2014",18.25T
"September 30, 2014",17.52T
"June 30, 2014",17.40T
"March 31, 2014",16.70T
"December 31, 2013",16.49T
"September 30, 2013",14.96T
"June 30, 2013",14.31T
"March 31, 2013",13.98T
"December 31, 2012",12.74T
"September 30, 2012",12.88T
